PMID,Sentence,Subject,Predicate,Object
17488489,"This study combined data from a nation-wide surveillance for IPD and the German childhood cancer registry, and showed that children with ALL carry a more than 10-fold higher risk for IPD than the general paediatric population.","Leukemia, Lymphocytic, Acute",PROCESS_OF,Child
17558696,The study was performed on 34 children with ALL and 39 healthy children as a control group.,"Leukemia, Lymphocytic, Acute",PROCESS_OF,Child
17558696,The aim of the study is to characterize markers of apoptosis in children with acute lymphoblastic leukemia (ALL) in relation to treatment outcome of the disease.,Apoptosis,PROCESS_OF,Child
17558696,The aim of the study is to characterize markers of apoptosis in children with acute lymphoblastic leukemia (ALL) in relation to treatment outcome of the disease.,"Leukemia, Lymphocytic, Acute",PROCESS_OF,Child
17875533,"We prospectively studied 49 children (26 boys and 23 girls) with acute lymphoblastic leukemia (ALL) (median age, 5.5 years; range, 15 months to 12.5 years) who were treated with the BFM95 chemotherapy protocol.","Leukemia, Lymphocytic, Acute",PROCESS_OF,Child
17875533,"We prospectively studied 49 children (26 boys and 23 girls) with acute lymphoblastic leukemia (ALL) (median age, 5.5 years; range, 15 months to 12.5 years) who were treated with the BFM95 chemotherapy protocol.",Chemotherapy-Oncologic Procedure,TREATS,"Leukemia, Lymphocytic, Acute"
14607754,Initial in vivo resistance to glucocorticoid (GC) treatment in childhood ALL (prednisone-poor response) is associated with a dramatically shorter event-free survival than that found in GC-sensitive patients (prednisone-good responders).,Glucocorticoids,TREATS,"Leukemia, Lymphocytic, Acute, L1"
14607754,Initial in vivo resistance to glucocorticoid (GC) treatment in childhood ALL (prednisone-poor response) is associated with a dramatically shorter event-free survival than that found in GC-sensitive patients (prednisone-good responders).,Glucocorticoids,ISA,Therapeutic procedure
15111780,"Plasma lipids and lipoproteins were measured at diagnosis, prior to the administration of induction treatment, and every 2 months for the first 12 months of the maintenance phase of chemotherapy in 64 patients with ALL.","Leukemia, Lymphocytic, Acute",PROCESS_OF,Patients
15111780,"Plasma lipids and lipoproteins were measured at diagnosis, prior to the administration of induction treatment, and every 2 months for the first 12 months of the maintenance phase of chemotherapy in 64 patients with ALL.",Pharmacotherapy,TREATS,"Leukemia, Lymphocytic, Acute"
15111780,"Plasma lipids and lipoproteins were measured at diagnosis, prior to the administration of induction treatment, and every 2 months for the first 12 months of the maintenance phase of chemotherapy in 64 patients with ALL.",Pharmacotherapy,TREATS,Patients
15784872,"CONTEXT: Early response to multiagent chemotherapy, including mercaptopurine, as measured by minimal residual disease is an important prognostic factor for children with acute lymphoblastic leukemia (ALL).","Neoplasm, Residual",AFFECTS,Child
15784872,"CONTEXT: Early response to multiagent chemotherapy, including mercaptopurine, as measured by minimal residual disease is an important prognostic factor for children with acute lymphoblastic leukemia (ALL).","Leukemia, Lymphocytic, Acute",PROCESS_OF,Child
15951600,"We report 6 children, aged 4.5- 16 years, with acute lymphoblastic leukaemia with back pain, exacerbated by walking as the first symptom of disease.","Leukemia, Lymphocytic, Acute",PROCESS_OF,Child
16804111,"In conclusion, the overall thrombotic risk in ALL children was significant, and the subgroup analysis was able to identify high-risk individuals, a finding that will hopefully guide future prospective studies aimed at decreasing this risk.","Leukemia, Lymphocytic, Acute",PROCESS_OF,Child
16804111,The risk of thrombosis in children with acute lymphoblastic leukemia (ALL) reportedly ranges between 1% and 37%.,Thrombosis,PROCESS_OF,Child
16804111,The risk of thrombosis in children with acute lymphoblastic leukemia (ALL) reportedly ranges between 1% and 37%.,"Leukemia, Lymphocytic, Acute",PROCESS_OF,Child
16990760,"We explored the relationship between time to relapse and different exposure variables (serum methotrexate (S-MTX) 23, 36 and 42 h after start of administration, MTX elimination time and leucovorin (LV) dose) during high-dose MTX (HDM) treatment of 445 children with acute lymphoblastic leukemia.","Leukemia, Lymphocytic, Acute",PROCESS_OF,Child
17267033,Quantification of MK gene by real-time PCR offers particular promise as a prognostic marker and a marker for minimal residual disease in children with B-precursor ALL.,"Leukemia, B-Cell, Acute",PROCESS_OF,Child
17267033,Quantification of MK gene by real-time PCR offers particular promise as a prognostic marker and a marker for minimal residual disease in children with B-precursor ALL.,"Neoplasm, Residual",PROCESS_OF,Child
17267033,Quantification of MK gene by real-time PCR offers particular promise as a prognostic marker and a marker for minimal residual disease in children with B-precursor ALL.,"MDK protein, human | MDK",TREATS,"Neoplasm, Residual"
17301519,The JPLSG/ALL committee was started in 2005 for discussing the ongoing need for cooperative clinical study in Japan and the possibility of nelarabine-containing regimen for T-ALL.,Treatment Protocols,TREATS,"Leukemia, Lymphocytic, Acute"
17301519,"For the purpose of finding the standard treatment, JPLSG protocols have been started for three distinct and rare types of ALL, including mature B-ALL, infant ALL and Ph+ALL.","Leukemia, Lymphocytic, Acute",PROCESS_OF,Infant
17454190,The study was conducted on 63 ALL children (40 males and 23 females) with age range 4.5 months-16 years (mean = 7.76 years).,"Leukemia, Lymphocytic, Acute",PROCESS_OF,Child
17454190,The objective of the work was to evaluate children with acute lymphoblastic leukemia (ALL) showing resistance to immediate induction chemotherapy in relation to conventional and advanced cytogenetic analysis.,"Leukemia, Lymphocytic, Acute",PROCESS_OF,Child
17454638,Gene-gene interactions in the folate metabolic pathway influence the risk for acute lymphoblastic leukemia in children.,"Leukemia, Lymphocytic, Acute",PROCESS_OF,Child
17804520,"In addition, benign abnormalities of the blood count and blood film, which may manifest at any age, population-based and cancer-based registries and clinical trials suggest there is a approximately 12-fold increased risk of acute lymphoblastic leukaemia in the age group of 5-30 years that rises to approximately 40-fold in children younger than 5 years, and that there is a approximately 150-fold increased risk of acute myeloid leukaemia in children younger than 5 years.","Leukemia, Myelocytic, Acute",PROCESS_OF,Child
17804520,"In addition, benign abnormalities of the blood count and blood film, which may manifest at any age, population-based and cancer-based registries and clinical trials suggest there is a approximately 12-fold increased risk of acute lymphoblastic leukaemia in the age group of 5-30 years that rises to approximately 40-fold in children younger than 5 years, and that there is a approximately 150-fold increased risk of acute myeloid leukaemia in children younger than 5 years.","Leukemia, Lymphocytic, Acute",PROCESS_OF,Child
17876329,Adenovirus DNA is detected at increased frequency in Guthrie cards from children who develop acute lymphoblastic leukaemia.,"Leukemia, Lymphocytic, Acute",PROCESS_OF,Child
17956600,We report an analysis of gene expression in 60 children with B-lineage ALL using Agilent whole genome oligo-chips (44K-G4112A) and/or real time RT-PCR.,"Leukemia, B-Cell, Acute",PROCESS_OF,Child
17956600,We report an analysis of gene expression in 60 children with B-lineage ALL using Agilent whole genome oligo-chips (44K-G4112A) and/or real time RT-PCR.,Gene Expression,PROCESS_OF,Child
17963265,"Although treatment intensity and outcome were not comparable, with improvements in survival it is important to evaluate the rate and the type of second neoplasms in adults with ALL.",Neoplasm,PROCESS_OF,Adult
17963265,"Although treatment intensity and outcome were not comparable, with improvements in survival it is important to evaluate the rate and the type of second neoplasms in adults with ALL.","Leukemia, Lymphocytic, Acute",PROCESS_OF,Adult
18021563,RESULTS: Cytogenetic analysis was successful in 112 of 124 children with ALL.,"Leukemia, Lymphocytic, Acute",PROCESS_OF,Child
18021563,The aim of the present study was to assess the demography of cytogenetic abnormalities in childhood ALL.,Chromosome abnormality,COEXISTS_WITH,"Leukemia, Lymphocytic, Acute, L1"
18067025,Characterization of high-hyperdiploidy in childhood acute lymphoblastic leukemia with gain of a single chromosome 21.,Hyperploidy,COEXISTS_WITH,"Leukemia, Lymphocytic, Acute, L1"
14607754,Initial in vivo resistance to glucocorticoid (GC) treatment in childhood ALL (prednisone-poor response) is associated with a dramatically shorter event-free survival than that found in GC-sensitive patients (prednisone-good responders).,Glucocorticoids,TREATS,"Leukemia, Lymphocytic, Acute, L1"
14607754,Initial in vivo resistance to glucocorticoid (GC) treatment in childhood ALL (prednisone-poor response) is associated with a dramatically shorter event-free survival than that found in GC-sensitive patients (prednisone-good responders).,Glucocorticoids,ISA,Therapeutic procedure
15111780,"Plasma lipids and lipoproteins were measured at diagnosis, prior to the administration of induction treatment, and every 2 months for the first 12 months of the maintenance phase of chemotherapy in 64 patients with ALL.","Leukemia, Lymphocytic, Acute",PROCESS_OF,Patients
15111780,"Plasma lipids and lipoproteins were measured at diagnosis, prior to the administration of induction treatment, and every 2 months for the first 12 months of the maintenance phase of chemotherapy in 64 patients with ALL.",Pharmacotherapy,TREATS,"Leukemia, Lymphocytic, Acute"
15111780,"Plasma lipids and lipoproteins were measured at diagnosis, prior to the administration of induction treatment, and every 2 months for the first 12 months of the maintenance phase of chemotherapy in 64 patients with ALL.",Pharmacotherapy,TREATS,Patients
15784872,"CONTEXT: Early response to multiagent chemotherapy, including mercaptopurine, as measured by minimal residual disease is an important prognostic factor for children with acute lymphoblastic leukemia (ALL).","Neoplasm, Residual",AFFECTS,Child
15784872,"CONTEXT: Early response to multiagent chemotherapy, including mercaptopurine, as measured by minimal residual disease is an important prognostic factor for children with acute lymphoblastic leukemia (ALL).","Leukemia, Lymphocytic, Acute",PROCESS_OF,Child
15951600,"We report 6 children, aged 4.5- 16 years, with acute lymphoblastic leukaemia with back pain, exacerbated by walking as the first symptom of disease.","Leukemia, Lymphocytic, Acute",PROCESS_OF,Child
16804111,"In conclusion, the overall thrombotic risk in ALL children was significant, and the subgroup analysis was able to identify high-risk individuals, a finding that will hopefully guide future prospective studies aimed at decreasing this risk.","Leukemia, Lymphocytic, Acute",PROCESS_OF,Child
16804111,The risk of thrombosis in children with acute lymphoblastic leukemia (ALL) reportedly ranges between 1% and 37%.,Thrombosis,PROCESS_OF,Child
16804111,The risk of thrombosis in children with acute lymphoblastic leukemia (ALL) reportedly ranges between 1% and 37%.,"Leukemia, Lymphocytic, Acute",PROCESS_OF,Child
16990760,"We explored the relationship between time to relapse and different exposure variables (serum methotrexate (S-MTX) 23, 36 and 42 h after start of administration, MTX elimination time and leucovorin (LV) dose) during high-dose MTX (HDM) treatment of 445 children with acute lymphoblastic leukemia.","Leukemia, Lymphocytic, Acute",PROCESS_OF,Child
17267033,Quantification of MK gene by real-time PCR offers particular promise as a prognostic marker and a marker for minimal residual disease in children with B-precursor ALL.,"Leukemia, B-Cell, Acute",PROCESS_OF,Child
17267033,Quantification of MK gene by real-time PCR offers particular promise as a prognostic marker and a marker for minimal residual disease in children with B-precursor ALL.,"Neoplasm, Residual",PROCESS_OF,Child
17267033,Quantification of MK gene by real-time PCR offers particular promise as a prognostic marker and a marker for minimal residual disease in children with B-precursor ALL.,"MDK protein, human | MDK",TREATS,"Neoplasm, Residual"
17301519,The JPLSG/ALL committee was started in 2005 for discussing the ongoing need for cooperative clinical study in Japan and the possibility of nelarabine-containing regimen for T-ALL.,Treatment Protocols,TREATS,"Leukemia, Lymphocytic, Acute"
17301519,"For the purpose of finding the standard treatment, JPLSG protocols have been started for three distinct and rare types of ALL, including mature B-ALL, infant ALL and Ph+ALL.","Leukemia, Lymphocytic, Acute",PROCESS_OF,Infant
17454190,The study was conducted on 63 ALL children (40 males and 23 females) with age range 4.5 months-16 years (mean = 7.76 years).,"Leukemia, Lymphocytic, Acute",PROCESS_OF,Child
17454190,The objective of the work was to evaluate children with acute lymphoblastic leukemia (ALL) showing resistance to immediate induction chemotherapy in relation to conventional and advanced cytogenetic analysis.,"Leukemia, Lymphocytic, Acute",PROCESS_OF,Child
17454638,Gene-gene interactions in the folate metabolic pathway influence the risk for acute lymphoblastic leukemia in children.,"Leukemia, Lymphocytic, Acute",PROCESS_OF,Child
17804520,"In addition, benign abnormalities of the blood count and blood film, which may manifest at any age, population-based and cancer-based registries and clinical trials suggest there is a approximately 12-fold increased risk of acute lymphoblastic leukaemia in the age group of 5-30 years that rises to approximately 40-fold in children younger than 5 years, and that there is a approximately 150-fold increased risk of acute myeloid leukaemia in children younger than 5 years.","Leukemia, Myelocytic, Acute",PROCESS_OF,Child
17804520,"In addition, benign abnormalities of the blood count and blood film, which may manifest at any age, population-based and cancer-based registries and clinical trials suggest there is a approximately 12-fold increased risk of acute lymphoblastic leukaemia in the age group of 5-30 years that rises to approximately 40-fold in children younger than 5 years, and that there is a approximately 150-fold increased risk of acute myeloid leukaemia in children younger than 5 years.","Leukemia, Lymphocytic, Acute",PROCESS_OF,Child
17876329,Adenovirus DNA is detected at increased frequency in Guthrie cards from children who develop acute lymphoblastic leukaemia.,"Leukemia, Lymphocytic, Acute",PROCESS_OF,Child
17956600,We report an analysis of gene expression in 60 children with B-lineage ALL using Agilent whole genome oligo-chips (44K-G4112A) and/or real time RT-PCR.,"Leukemia, B-Cell, Acute",PROCESS_OF,Child
17956600,We report an analysis of gene expression in 60 children with B-lineage ALL using Agilent whole genome oligo-chips (44K-G4112A) and/or real time RT-PCR.,Gene Expression,PROCESS_OF,Child
17963265,"Although treatment intensity and outcome were not comparable, with improvements in survival it is important to evaluate the rate and the type of second neoplasms in adults with ALL.",Neoplasm,PROCESS_OF,Adult
17963265,"Although treatment intensity and outcome were not comparable, with improvements in survival it is important to evaluate the rate and the type of second neoplasms in adults with ALL.","Leukemia, Lymphocytic, Acute",PROCESS_OF,Adult
18021563,RESULTS: Cytogenetic analysis was successful in 112 of 124 children with ALL.,"Leukemia, Lymphocytic, Acute",PROCESS_OF,Child
18021563,The aim of the present study was to assess the demography of cytogenetic abnormalities in childhood ALL.,Chromosome abnormality,COEXISTS_WITH,"Leukemia, Lymphocytic, Acute, L1"
18067025,Characterization of high-hyperdiploidy in childhood acute lymphoblastic leukemia with gain of a single chromosome 21.,Hyperploidy,COEXISTS_WITH,"Leukemia, Lymphocytic, Acute, L1"
14766125,Acute lymphoblastic leukaemia (ALL) is a disease diagnosed in children as well as adults.,"Leukemia, Lymphocytic, Acute",ISA,Disease
14766125,Acute lymphoblastic leukaemia (ALL) is a disease diagnosed in children as well as adults.,"Leukemia, Lymphocytic, Acute",PROCESS_OF,Child
14766125,Acute lymphoblastic leukaemia (ALL) is a disease diagnosed in children as well as adults.,Disease,PROCESS_OF,Child
15355694,CONCLUSIONS: Multiplex RT-PCR combined with chromosome analysis can enhance the detection rate of genetic abnormalities in childhood ALL.,Reverse Transcriptase Polymerase Chain Reaction,USES,Chromosome analysis
15355694,CONCLUSIONS: Multiplex RT-PCR combined with chromosome analysis can enhance the detection rate of genetic abnormalities in childhood ALL.,Detection,TREATS,"Leukemia, Lymphocytic, Acute, L1"
15386768,"In this study 55 parents of children (36 boys and 19 girls, mean age = 7.33 years) newly diagnosed with acute lymphoblastic leukaemia (ALL) were interviewed about (i) the child's reactions and behaviour following diagnosis, (ii) their views about what to tell their child and (iii) factors influencing parents' communication with the child.","Leukemia, Lymphocytic, Acute",PROCESS_OF,Child
15518596,REVIEW SUMMARY: Children with acute lymphoblastic leukemia previously treated with cranial irradiation are at risk for cognitive decline.,Cranial Irradiation,TREATS,Child
15518596,REVIEW SUMMARY: Children with acute lymphoblastic leukemia previously treated with cranial irradiation are at risk for cognitive decline.,Cranial Irradiation,TREATS,"Leukemia, Lymphocytic, Acute"
15518596,REVIEW SUMMARY: Children with acute lymphoblastic leukemia previously treated with cranial irradiation are at risk for cognitive decline.,"Leukemia, Lymphocytic, Acute",PROCESS_OF,Child
15937026,"Details of 299 children (0-14 years) with acute lymphoblastic leukemia and 1,551 children with diabetes diagnosed between 1986 and 1998 were extracted from two registers in Yorkshire, United Kingdom.","Leukemia, Lymphocytic, Acute",PROCESS_OF,Child
15937026,"Details of 299 children (0-14 years) with acute lymphoblastic leukemia and 1,551 children with diabetes diagnosed between 1986 and 1998 were extracted from two registers in Yorkshire, United Kingdom.","Leukemia, Lymphocytic, Acute",PROCESS_OF,Child
15937026,"Details of 299 children (0-14 years) with acute lymphoblastic leukemia and 1,551 children with diabetes diagnosed between 1986 and 1998 were extracted from two registers in Yorkshire, United Kingdom.",Diabetes,PROCESS_OF,Child
15937026,"Details of 299 children (0-14 years) with acute lymphoblastic leukemia and 1,551 children with diabetes diagnosed between 1986 and 1998 were extracted from two registers in Yorkshire, United Kingdom.",Diabetes,PROCESS_OF,Child
16474265,CONCLUSIONS: The results provide support to the association between parental occupational exposures and ALL in their children.,Occupational Exposure,PROCESS_OF,Child
16474265,CONCLUSIONS: The results provide support to the association between parental occupational exposures and ALL in their children.,"Leukemia, Lymphocytic, Acute",PROCESS_OF,Child
16474265,"Our case-control study included 224 children, 112 diagnosed with ALL and 112 matched controls.","Leukemia, Lymphocytic, Acute",PROCESS_OF,Child
16885052,A flow cytometric approach to minimal residual disease (MRD) monitoring useful in childhood B-lineage acute lymphoblastic leukemia (ALL) is discussed here in the context of ALL in adults.,"Leukemia, Lymphocytic, Acute",PROCESS_OF,Adult
16885052,A flow cytometric approach to minimal residual disease (MRD) monitoring useful in childhood B-lineage acute lymphoblastic leukemia (ALL) is discussed here in the context of ALL in adults.,"Neoplasm, Residual",COEXISTS_WITH,"Leukemia, Lymphocytic, Acute, L1"
16921038,CONCLUSION: Treatment strategies for young children with ALL that avoid CRT are associated with good long-term neurocognitive outcomes.,Therapeutic procedure,TREATS,"Leukemia, Lymphocytic, Acute"
16921038,CONCLUSION: Treatment strategies for young children with ALL that avoid CRT are associated with good long-term neurocognitive outcomes.,Therapeutic procedure,TREATS,Child
16921038,PATIENTS AND METHODS: Seventy nine of 120 eligible children diagnosed with high-risk ALL between the ages of 1.0 and 4.9 years participated in this retrospective cohort study.,"Leukemia, Lymphocytic, Acute",PROCESS_OF,Child
16921038,Comparison of long-term neurocognitive outcomes in young children with acute lymphoblastic leukemia treated with cranial radiation or high-dose or very high-dose intravenous methotrexate.,"Leukemia, Lymphocytic, Acute",PROCESS_OF,Child
16921038,CONCLUSION: Treatment strategies for young children with ALL that avoid CRT are associated with good long-term neurocognitive outcomes.,"Leukemia, Lymphocytic, Acute",PROCESS_OF,Child
17179108,CONCLUSION: SCT in CR1 is superior to treatment with chemotherapy alone for childhood HR-T-ALL.,"Receptors, Complement 3b | CR1",higher_than,Stem cell transplant
17179108,CONCLUSION: SCT in CR1 is superior to treatment with chemotherapy alone for childhood HR-T-ALL.,"Receptors, Complement 3b | CR1",compared_with,Stem cell transplant
17179108,T-cell ALL (T-ALL) patients with poor in vivo response to initial treatment represented the largest homogeneous subgroup within VHR patients.,Acute T Cell Leukemia,ISA,"Leukemia, Lymphocytic, Acute"
17179108,CONCLUSION: SCT in CR1 is superior to treatment with chemotherapy alone for childhood HR-T-ALL.,Pharmacotherapy,TREATS,"Leukemia, Lymphocytic, Acute, L1"
17179108,PURPOSE: The role of hematopoietic stem-cell transplantation (SCT) in first complete remission (CR1) for children with very high-risk (VHR) acute lymphoblastic leukemia (ALL) is still under critical discussion.,Hematopoietic Stem Cell Transplantation,TREATS,Child
17179108,CONCLUSION: SCT in CR1 is superior to treatment with chemotherapy alone for childhood HR-T-ALL.,"Receptors, Complement 3b | CR1",higher_than,Therapeutic procedure
17179108,PURPOSE: The role of hematopoietic stem-cell transplantation (SCT) in first complete remission (CR1) for children with very high-risk (VHR) acute lymphoblastic leukemia (ALL) is still under critical discussion.,"Leukemia, Lymphocytic, Acute",PROCESS_OF,Child
17179108,CONCLUSION: SCT in CR1 is superior to treatment with chemotherapy alone for childhood HR-T-ALL.,"Receptors, Complement 3b | CR1",compared_with,Therapeutic procedure
17179108,PURPOSE: The role of hematopoietic stem-cell transplantation (SCT) in first complete remission (CR1) for children with very high-risk (VHR) acute lymphoblastic leukemia (ALL) is still under critical discussion.,Hematopoietic Stem Cell Transplantation,TREATS,"Leukemia, Lymphocytic, Acute"
17179108,CONCLUSION: SCT in CR1 is superior to treatment with chemotherapy alone for childhood HR-T-ALL.,Stem cell transplant,ISA,Therapeutic procedure
17454638,"We analysed common genetic polymorphisms of 5,10-methylenetetrahydrofolate reductase (MTHFR), thymidylate synthase (TS), methionine synthase (MS) and methionine synthase reductase (MTRR) in 68 children with ALL and 258 healthy controls to investigate their influence on the risk for ALL.","Polymorphism, Genetic",PROCESS_OF,Child
17454638,"We analysed common genetic polymorphisms of 5,10-methylenetetrahydrofolate reductase (MTHFR), thymidylate synthase (TS), methionine synthase (MS) and methionine synthase reductase (MTRR) in 68 children with ALL and 258 healthy controls to investigate their influence on the risk for ALL.","Leukemia, Lymphocytic, Acute",PROCESS_OF,Child
17525906,CONCLUSIONS: We conclude that in children with ALL a 24-h infusion of DNR has the same in vivo cytotoxicity for leukemic cells as a 1-h infusion.,"Leukemia, Lymphocytic, Acute",PROCESS_OF,Child
17525906,CONCLUSIONS: We conclude that in children with ALL a 24-h infusion of DNR has the same in vivo cytotoxicity for leukemic cells as a 1-h infusion.,cytotoxicity,PROCESS_OF,Child
17623090,The aim of this study was to investigate the AMP activated protein kinase (AMPK) as a potential target in childhood acute lymphoblastic leukemia (ALL) subtypes characterized by non-random translocation signature profiles.,PROTEIN KINASE,ASSOCIATED_WITH,"Leukemia, Lymphocytic, Acute, L1"
17623090,The aim of this study was to investigate the AMP activated protein kinase (AMPK) as a potential target in childhood acute lymphoblastic leukemia (ALL) subtypes characterized by non-random translocation signature profiles.,"Leukemia, Lymphocytic, Acute, L1",ISA,"Leukemia, Lymphocytic, Acute"
15285454,SETTING: Registry records of the paediatric cancer units at Tygerberg and Red Cross War Memorial Children's hospitals where all children with ALL in the WC were initially treated.,"Leukemia, Lymphocytic, Acute",PROCESS_OF,Child
15684603,Molecular parameters involved in the prediction of response of childhood acute lymphoblastic leukemia (ALL) are still unclear.,response,PREDISPOSES,"Leukemia, Lymphocytic, Acute, L1"
15684603,Molecular parameters involved in the prediction of response of childhood acute lymphoblastic leukemia (ALL) are still unclear.,"Leukemia, Lymphocytic, Acute, L1",ISA,"Leukemia, Lymphocytic, Acute"
15991223,A semi-quantitative expression analysis of both AML1-a and AML1-total was performed by RT-PCR in 19 children with acute lymphoblastic leukemia (ALL) at diagnosis.,Child,LOCATION_OF,RUNX1 gene | RUNX1
15991223,A semi-quantitative expression analysis of both AML1-a and AML1-total was performed by RT-PCR in 19 children with acute lymphoblastic leukemia (ALL) at diagnosis.,Child,LOCATION_OF,RUNX1 gene | RUNX1
15991223,A semi-quantitative expression analysis of both AML1-a and AML1-total was performed by RT-PCR in 19 children with acute lymphoblastic leukemia (ALL) at diagnosis.,"Leukemia, Lymphocytic, Acute",PROCESS_OF,Child
16552836,This finding encourages further investigation of baicalin in its role as a potential candidate for chemotherapeutic agents in T-ALL.,Antineoplastic Agents,TREATS,"Leukemia, Lymphocytic, Acute"
16848106,We conclude that children's BMDs are reduced after completion of chemotherapy for ALL.,Pharmacotherapy,TREATS,"Leukemia, Lymphocytic, Acute"
16848106,"Children with ALL had reduced lumbar BMDs (z score -0.99) in comparison to healthy controls (z score -0.14) (p=0.011), which is indicative of relative osteopenia.","Leukemia, Lymphocytic, Acute",PROCESS_OF,Child
16848106,"Bone mineral density (g/cm2) of lumbar spine was measured by dual energy X-ray absorptiometry (Norland bone densitometer) in 18 children with ALL and a median of 34 months' post-diagnosis with no history of relapse, secondary malignancy, or transplantation.","Leukemia, Lymphocytic, Acute",PROCESS_OF,Child
17255265,They validate our previous studies of hRFC transcriptional regulation in pediatric ALL and provide further compelling evidence for the critical role for methotrexate in the successful treatment of this disease.,Transcriptional Regulation,COEXISTS_WITH,"Leukemia, Lymphocytic, Acute, L1"
17255265,They validate our previous studies of hRFC transcriptional regulation in pediatric ALL and provide further compelling evidence for the critical role for methotrexate in the successful treatment of this disease.,Methotrexate,TREATS,"Leukemia, Lymphocytic, Acute, L1"
17523695,"Although these approaches have been successful in dramatically improving outcomes, approximately 20% of children with ALL still relapse and many of these children do not have an identifiable adverse risk factor at presentation.","Leukemia, Lymphocytic, Acute",PROCESS_OF,Child
17525899,Most of the available information in this area originates mainly from retrospective and some prospective observational cohort studies conducted in children with acute lymphoblastic leukemia (ALL).,"Leukemia, Lymphocytic, Acute",PROCESS_OF,Child
17697613,[Induction chemotherapy in childhood acute lymphoblastic leukemia: the association between the intensity of therapy and cure].,Pharmacotherapy,TREATS,"Leukemia, Lymphocytic, Acute, L1"
17697614,"CONCLUSIONS: ALL Protocol 2005 had the same efficacy as ALL-XH-99 Protocol had in the induction therapy in treating children with ALL, but it was safer than ALL-XH-99.","Leukemia, Lymphocytic, Acute",PROCESS_OF,Child
17697614,"CONCLUSIONS: ALL Protocol 2005 had the same efficacy as ALL-XH-99 Protocol had in the induction therapy in treating children with ALL, but it was safer than ALL-XH-99.",Neoadjuvant Therapy,TREATS,Child
17697614,"OBJECTIVE: To improve the treatment outcome of children with acute lymphoblastic leukemia (ALL), and to evaluate the efficacy and safety of a modified induction chemotherapy between the two protocols used to treat children with ALL in Shanghai Children's Medical Center.",Pharmacotherapy,TREATS,"Leukemia, Lymphocytic, Acute"
17697614,"CONCLUSIONS: ALL Protocol 2005 had the same efficacy as ALL-XH-99 Protocol had in the induction therapy in treating children with ALL, but it was safer than ALL-XH-99.",Neoadjuvant Therapy,TREATS,"Leukemia, Lymphocytic, Acute"
17697614,[Evaluation of a modified induction chemotherapy in children with acute lymphoblastic leukemia].,Pharmacotherapy,TREATS,Child
17697614,"1st, 2006, 311 patients with newly diagnosed childhood ALL, who underwent induction chemotherapy for over 10 days, were eligible for analysis.","Leukemia, Lymphocytic, Acute, L1",PROCESS_OF,Patients
17697614,[Evaluation of a modified induction chemotherapy in children with acute lymphoblastic leukemia].,"Leukemia, Lymphocytic, Acute",PROCESS_OF,Child
17697614,"1st, 2006, 311 patients with newly diagnosed childhood ALL, who underwent induction chemotherapy for over 10 days, were eligible for analysis.",Pharmacotherapy,TREATS,"Leukemia, Lymphocytic, Acute, L1"
17697614,[Evaluation of a modified induction chemotherapy in children with acute lymphoblastic leukemia].,Pharmacotherapy,TREATS,"Leukemia, Lymphocytic, Acute"
17697614,"OBJECTIVE: To improve the treatment outcome of children with acute lymphoblastic leukemia (ALL), and to evaluate the efficacy and safety of a modified induction chemotherapy between the two protocols used to treat children with ALL in Shanghai Children's Medical Center.",Pharmacotherapy,TREATS,Child
17697614,"OBJECTIVE: To improve the treatment outcome of children with acute lymphoblastic leukemia (ALL), and to evaluate the efficacy and safety of a modified induction chemotherapy between the two protocols used to treat children with ALL in Shanghai Children's Medical Center.","Leukemia, Lymphocytic, Acute",PROCESS_OF,Child
17697614,"OBJECTIVE: To improve the treatment outcome of children with acute lymphoblastic leukemia (ALL), and to evaluate the efficacy and safety of a modified induction chemotherapy between the two protocols used to treat children with ALL in Shanghai Children's Medical Center.","Leukemia, Lymphocytic, Acute",PROCESS_OF,Child
17697615,[High mobility group box 1 is increased in children with acute lymphocytic leukemia and stimulates the release of tumor necrosis factor-alpha in leukemic cell].,Child,LOCATION_OF,HMGB1 gene | HMGB1
17697615,[High mobility group box 1 is increased in children with acute lymphocytic leukemia and stimulates the release of tumor necrosis factor-alpha in leukemic cell].,"Leukemia, Lymphocytic, Acute",PROCESS_OF,Child
17697615,[High mobility group box 1 is increased in children with acute lymphocytic leukemia and stimulates the release of tumor necrosis factor-alpha in leukemic cell].,Leukemic Cell,LOCATION_OF,Tumor Necrosis Factor-alpha
12860036,Incomplete T-cell-receptor delta (TCR-delta) rearrangements are widely used for detection of minimal residual disease in childhood acute lymphoblastic leukemia.,"Neoplasm, Residual",COEXISTS_WITH,"Leukemia, Lymphocytic, Acute, L1"
14642920,Who should be treating adolescents and young adults with acute lymphoblastic leukaemia?,"Leukemia, Lymphocytic, Acute",PROCESS_OF,Young adult
14642920,"In this article, I present some of the current challenges in the treatment of ALL in adolescents and young adults and propose strategies to improve outcome in these patients.","Leukemia, Lymphocytic, Acute",PROCESS_OF,Adolescent
14642920,Who should be treating adolescents and young adults with acute lymphoblastic leukaemia?,"Leukemia, Lymphocytic, Acute",PROCESS_OF,Adolescent
14642920,"In this article, I present some of the current challenges in the treatment of ALL in adolescents and young adults and propose strategies to improve outcome in these patients.",Therapeutic procedure,TREATS,Patients
