Section,Subject,Predicate,Object
Supportive Care,Disease,PROCESS_OF,Patients
Supportive Care,Hemorrhage,ISA,Disease
Supportive Care,Hemorrhage,PROCESS_OF(SPEC),Patients
Supportive Care,Supportive care,TREATS,leukemia
Supportive Care,Blood product,CAUSES,Death (finding)
Supportive Care,leukemia,PROCESS_OF,Patients
Supportive Care,Erythrocyte Transfusion,TREATS,Acquired Immunodeficiency Syndrome
Supportive Care,Erythrocyte Transfusion,TREATS,Anemia
Supportive Care,Hypocellular bone marrow,CAUSES,Agranulocytosis
Supportive Care,Disease Progression,CAUSES,Agranulocytosis
Supportive Care,Diagnosis,TREATS,Neutropenia
Supportive Care,Fever,PROCESS_OF,Patients
Supportive Care,Therapeutic Intervention,TREATS,Neutropenia
Supportive Care,Granulocyte Colony-Stimulating Factor,ISA,Growth Factor
Supportive Care,Granulocyte Colony-Stimulating Factor,TREATS,Leukopenia
Supportive Care,lymphoblast,LOCATION_OF,Granulocyte Colony-Stimulating Factor
Supportive Care,Complication,AFFECTS,Child
Supportive Care,leukemia,PROCESS_OF,Child
Supportive Care,Therapeutic procedure,PREDISPOSES,Infection
Supportive Care,Induction,PREDISPOSES,Infection
Supportive Care,Dapsone,TREATS,Chickenpox
Supportive Care,Pentamidine,TREATS,Chickenpox
Supportive Care,Therapeutic procedure,TREATS,Child
Supportive Care,"Vaccines, Attenuated",ADMINISTERED_TO,Child
Supportive Care,varicella-zoster immune globulin,ADMINISTERED_TO,Patients
Supportive Care,Gamma globulin,PART_OF,Measles virus
Supportive Care,Measles,PROCESS_OF,Child
Supportive Care,leukemia,PROCESS_OF,Patients
Supportive Care,Vaccines,TREATS,Patients
Supportive Care,Vaccines,TREATS(INFER),leukemia
Supportive Care,Virus,PROCESS_OF,Patients
Supportive Care,Cessation of life,PROCESS_OF,Patients
Supportive Care,Malnutrition,PROCESS_OF,Patients
Supportive Care,Obesity,PROCESS_OF,Survivors
Treatment of Relapse,x,x,x
Late Effects of Treatment,Sequela of disorder,PROCESS_OF,Survivors
Late Effects of Treatment,Neoplasm,OCCURS_IN,Patients
Late Effects of Treatment,Therapeutic procedure,TREATS,Clinical Nurse Specialists
Late Effects of Treatment,delayed toxicity,PROCESS_OF,Patients
Late Effects of Treatment,Demyelination,COEXISTS_WITH,Leukoencephalopathy
Late Effects of Treatment,Methotrexate,TREATS,Patients
Late Effects of Treatment,Cranial Irradiation,NEG_ADMINISTERED_TO,Patients
Late Effects of Treatment,Cranial Irradiation,TREATS,Patients
Late Effects of Treatment,Syndrome,PROCESS_OF,Patients
Late Effects of Treatment,Structure of small blood vessel (organ),LOCATION_OF,Degenerative disorder
Late Effects of Treatment,Dystrophic calcification,COEXISTS_WITH,Degenerative disorder
Late Effects of Treatment,Brain tissue,LOCATION_OF,Dystrophic calcification
Late Effects of Treatment,Methotrexate,TREATS,Child
Late Effects of Treatment,Cranial Irradiation,TREATS,Child
Late Effects of Treatment,Blood supply aspects,LOCATION_OF,Disease of capillaries
Late Effects of Treatment,Blood supply aspects,PART_OF,Brain
Late Effects of Treatment,Methotrexate,STIMULATES,homocysteine
Late Effects of Treatment,calcification,ASSOCIATED_WITH,homocysteine
Late Effects of Treatment,Neuraxis,LOCATION_OF,Radiation therapy
Late Effects of Treatment,Patients,LOCATION_OF,homocysteine
Late Effects of Treatment,cysteine sulfinic acid,CAUSES,Seizures
Late Effects of Treatment,Depressive disorder,AFFECTS,Survivors
Late Effects of Treatment,6-Mercaptopurine,AFFECTS,hypothalamus-pituitary axis
Late Effects of Treatment,Radiation therapy,ADMINISTERED_TO,Child
Late Effects of Treatment,Nuclear magnetic resonance imaging abnormal,PROCESS_OF,Patients
Late Effects of Treatment,Somatotropin,TREATS,Child
Late Effects of Treatment,Cranial Irradiation,AFFECTS,growth hormone secretion
Late Effects of Treatment,Short stature,PROCESS_OF,Child
Late Effects of Treatment,Second Primary Cancers,OCCURS_IN,Child
Late Effects of Treatment,Diagnosis,COEXISTS_WITH,Therapeutic procedure
Late Effects of Treatment,Cranial Irradiation,TREATS,Height
Late Effects of Treatment,Cranial Irradiation,AFFECTS,Growth
Late Effects of Treatment,Growth,PROCESS_OF,Patients
Late Effects of Treatment,Cranial Irradiation,ADMINISTERED_TO,Adult
Late Effects of Treatment,Adrenal Cortex Hormones,AFFECTS,Liver
Late Effects of Treatment,Adrenal Cortex Hormones,ISA,Pharmaceutical Preparations
Late Effects of Treatment,Pharmaceutical Preparations,AFFECTS(SPEC),Liver
Late Effects of Treatment,Pharmaceutical Preparations,ISA,Adrenal Cortex Hormones
Late Effects of Treatment,Obesity,OCCURS_IN,Child
Late Effects of Treatment,Therapeutic procedure,COEXISTS_WITH,Hospitalization
Late Effects of Treatment,Short stature,PROCESS_OF,Child
Late Effects of Treatment,Growth delay,PROCESS_OF,Child
Late Effects of Treatment,Therapeutic procedure,ADMINISTERED_TO,Patients
Late Effects of Treatment,Anthracycline Antibiotics,ADMINISTERED_TO,Patients
Late Effects of Treatment,Therapeutic procedure,PREDISPOSES,Cardiomyopathies
Late Effects of Treatment,Cardiomyopathies,PROCESS_OF,Patients
Late Effects of Treatment,Anthracycline Antibiotics,CAUSES,Cardiomyopathies
Late Effects of Treatment,Therapeutic procedure,USES,Anthracycline Antibiotics
Late Effects of Treatment,Antineoplastic Agents,AFFECTS,Cardiotoxicity
Late Effects of Treatment,follow-up,COEXISTS_WITH,Therapeutic procedure
Late Effects of Treatment,Dexrazoxane,ISA,Cardiotonic Agents
Late Effects of Treatment,antileukemic agent,COEXISTS_WITH,Anthracycline Antibiotics
Late Effects of Treatment,Zinecard,ISA,Dexrazoxane
Late Effects of Treatment,Steroid therapy,CAUSES,Avascular necrosis
Late Effects of Treatment,CYCLOPHOSPHAMIDE TREATMENT,CAUSES,Thrombosis
Late Effects of Treatment,CYCLOPHOSPHAMIDE TREATMENT,CAUSES,Hemorrhagic infarct
Late Effects of Treatment,Pharmacotherapy,TREATS,Patients
Late Effects of Treatment,Sexual function,PROCESS_OF,Patients
Late Effects of Treatment,Alkylating Agents,ISA,Therapeutic procedure
Late Effects of Treatment,Pharmacotherapy,TREATS,Patients
Late Effects of Treatment,Therapeutic procedure,USES,Alkylating Agents
Late Effects of Treatment,leukemia,PROCESS_OF,Girls
Late Effects of Treatment,Pharmacotherapy,ADMINISTERED_TO,Boys
Late Effects of Treatment,Therapeutic procedure,TREATS,leukemia
Late Effects of Treatment,Pharmacotherapy,ADMINISTERED_TO,Male population group
Late Effects of Treatment,Pharmacotherapy,PRECEDES,Therapeutic procedure
Late Effects of Treatment,Mutagens,CAUSES,Foetal damage
Late Effects of Treatment,Normal delivery,PROCESS_OF,Woman
Late Effects of Treatment,Second Primary Cancers,PROCESS_OF,Child
Late Effects of Treatment,Brain Neoplasms,ISA,Central Nervous System Neoplasms
Late Effects of Treatment,Chromosome abnormality,COEXISTS_WITH,leukemia
Late Effects of Treatment,Pharmacotherapy,TREATS,Patients
Late Effects of Treatment,Pharmaceutical Preparations,TREATS,Cancer Patient
Late Effects of Treatment,secondary acute myeloid leukemia,AFFECTS,leukemia
Late Effects of Treatment,Adenocarcinoma,PART_OF,Colon
Late Effects of Treatment,Brain Neoplasms,OCCURS_IN,Patients
Late Effects of Treatment,Glioma,ISA,Brain Neoplasms
Late Effects of Treatment,Glioma,OCCURS_IN(SPEC),Patients
Late Effects of Treatment,Immune system,LOCATION_OF,Pharmacotherapy
Late Effects of Treatment,"Leukemia, Myelocytic, Acute",ISA,Hematopoietic Neoplasms
Late Effects of Treatment,"Leukemia, Myelocytic, Acute",OCCURS_IN(SPEC),Patients
Late Effects of Treatment,Dysmyelopoietic Syndromes,ISA,Hematopoietic Neoplasms
Late Effects of Treatment,Dysmyelopoietic Syndromes,OCCURS_IN(SPEC),Patients
Late Effects of Treatment,Hematopoietic Neoplasms,OCCURS_IN,Patients
Late Effects of Treatment,"Stress Disorders, Post-Traumatic",PROCESS_OF,Patients
Late Effects of Treatment,"Stress Disorders, Post-Traumatic",PROCESS_OF,Survivors
Late Effects of Treatment,Solid tumor,PROCESS_OF,Patients
Late Effects of Treatment,leukemia,PROCESS_OF,Patients
Future Challenges,Application procedure,METHOD_OF,Therapeutic procedure
Future Challenges,cooperative,LOCATION_OF,Clinical Trials
Future Challenges,Therapeutic procedure,TREATS,Disease
Future Challenges,leukemia,PROCESS_OF,Child
Future Challenges,Therapeutic procedure,TREATS,Disease
