NCT,Subject,Predicate,Object
NCT00079404,Adverse effects,PROCESS_OF,Patients
NCT00079404,17-(allylamino)-17-demethoxygeldanamycin,DISRUPTS,"Tumor cells, malignant"
NCT00079404,17-(allylamino)-17-demethoxygeldanamycin,ISA,Pharmacotherapy
NCT00079404,Solid tumor,PROCESS_OF,Child
NCT00079404,Drug Kinetics,PROCESS_OF,Child
NCT00079404,17-(allylamino)-17-demethoxygeldanamycin,ADMINISTERED_TO,Child
NCT00079404,Solid tumor,PROCESS_OF,Patients
NCT00079404,17-(allylamino)-17-demethoxygeldanamycin,ADMINISTERED_TO,Patients
NCT00079404,17-(allylamino)-17-demethoxygeldanamycin,ADMINISTERED_TO,Patients
NCT00079404,Toxic effect,PROCESS_OF,Patients
NCT00079404,leukemia,PROCESS_OF,Patients
NCT00079404,17-(allylamino)-17-demethoxygeldanamycin,ADMINISTERED_TO,Patients
NCT00079404,leukemia,PROCESS_OF,Patients
NCT00079404,leukemia,PROCESS_OF,Patients
NCT00079404,Solid tumor,PROCESS_OF,Patients
NCT00079404,17-(allylamino)-17-demethoxygeldanamycin,TREATS,Patients
NCT00079404,17-(allylamino)-17-demethoxygeldanamycin,TREATS(INFER),leukemia
NCT00079404,17-(allylamino)-17-demethoxygeldanamycin,TREATS(INFER),Solid tumor
NCT01492569,Pharmacotherapy,TREATS,Patients
NCT01492569,Pharmacotherapy,TREATS(INFER),Nausea
NCT01492569,Pharmacotherapy,TREATS(INFER),Vomiting
NCT01492569,Nausea,PROCESS_OF,Patients
NCT01492569,Vomiting,PROCESS_OF,Patients
NCT01492569,Point stimulation,TREATS,Nausea
NCT01492569,Acupuncture Points,LOCATION_OF,Nervousness
NCT01492569,Wrist,LOCATION_OF,Acupuncture Points
NCT01492569,Pharmacotherapy,compared_with,Point stimulation
NCT01492569,Nausea,PROCESS_OF,Child
NCT01492569,Vomiting,PROCESS_OF,Child
NCT01492569,Therapeutic procedure,USES,Antiemetics
NCT01492569,transcutaneous stimulation,TREATS,Patients
NCT01492569,transcutaneous stimulation,TREATS,Patients
NCT01492569,Point stimulation,TREATS,Nausea
NCT01492569,Point stimulation,TREATS,Vomiting
NCT01403415,Dexamethasone,TREATS,Patients
NCT01403415,Dexamethasone,TREATS(INFER),"Leukemia, Lymphocytic, Acute"
NCT01403415,"Leukemia, Lymphocytic, Acute",PROCESS_OF,Patients
NCT01403415,"Lymphoma, Non-Hodgkin's",PROCESS_OF,Patients
NCT01403415,Vincristine Sulfate,TREATS,Patients
NCT01403415,Vincristine Sulfate,TREATS(INFER),"Leukemia, Lymphocytic, Acute"
NCT01403415,pegaspargase,TREATS,Patients
NCT01403415,pegaspargase,TREATS(INFER),"Leukemia, Lymphocytic, Acute"
NCT01403415,Vitelliform dystrophy,PROCESS_OF,Patients
NCT01403415,Mitoxantrone Hydrochloride,TREATS,Patients
NCT01403415,Mitoxantrone Hydrochloride,TREATS(INFER),"Leukemia, Lymphocytic, Acute"
NCT01403415,Adverse effects,PROCESS_OF,Patients
NCT01403415,Dexamethasone,DISRUPTS,Growth
NCT01403415,Pharmaceutical Preparations,DISRUPTS,Cells
NCT01403415,Vincristine Sulfate,DISRUPTS,Growth
NCT01403415,pegaspargase,DISRUPTS,Growth
NCT01403415,Mitoxantrone Hydrochloride,DISRUPTS,Growth
NCT01403415,Combination Drug Therapy,TREATS,"Leukemia, Lymphocytic, Acute"
NCT01403415,Combination Drug Therapy,TREATS,"Lymphoma, Non-Hodgkin's"
NCT01403415,Pharmacotherapy,TREATS,Child
NCT01403415,Pharmacotherapy,TREATS(INFER),"Leukemia, Lymphocytic, Acute"
NCT01403415,Pharmacotherapy,TREATS(INFER),"Lymphoma, Non-Hodgkin's"
NCT01403415,"Leukemia, Lymphocytic, Acute",PROCESS_OF,Child
NCT01403415,"Lymphoma, Non-Hodgkin's",PROCESS_OF,Child
NCT01403415,"Leukemia, Lymphocytic, Acute",PROCESS_OF,Child
NCT01403415,"Lymphoma, Non-Hodgkin's",PROCESS_OF,Child
NCT01403415,Toxic effect,PROCESS_OF,Child
NCT01403415,"Leukemia, Lymphocytic, Acute",PROCESS_OF,Patients
NCT01403415,"Lymphoma, Non-Hodgkin's",PROCESS_OF,Patients
NCT01403415,"Neoplasm, Residual",PROCESS_OF,Patients
NCT01403415,"Leukemia, Lymphocytic, Acute",PROCESS_OF,Patients
NCT01403415,"Lymphoma, Non-Hodgkin's",PROCESS_OF,Patients
NCT01403415,Sirolimus (substance),DISRUPTS,Cells
NCT01403415,Dexamethasone,ADMINISTERED_TO,Patients
NCT01403415,Methotrexate,ADMINISTERED_TO,Patients
NCT01403415,"Leukemia, Lymphocytic, Acute",PROCESS_OF,Child
NCT01403415,"Lymphoma, Non-Hodgkin's",PROCESS_OF,Child
NCT01403415,Neoadjuvant Therapy,TREATS,Child
NCT01403415,Neoadjuvant Therapy,TREATS(INFER),"Leukemia, Lymphocytic, Acute"
NCT01403415,Neoadjuvant Therapy,TREATS(INFER),"Lymphoma, Non-Hodgkin's"
NCT00967057,Combination Drug Therapy,TREATS,Patients
NCT00967057,Pharmaceutical Preparations,DISRUPTS,Growth
NCT00967057,Combination Drug Therapy,TREATS,Patients
NCT00967057,Chemotherapy-Oncologic Procedure,TREATS,Patients
NCT00967057,"Neoplasm, Residual",PROCESS_OF,Patients
NCT00967057,Disease,PROCESS_OF,Patients
NCT00967057,Neoadjuvant Therapy,ADMINISTERED_TO,Patients
NCT00967057,Maintenance therapy,ISA,Therapeutic procedure
NCT00967057,Consolidation Therapy,ISA,Therapeutic procedure
NCT00967057,Disease,PROCESS_OF,Patients
NCT00967057,Neoadjuvant Therapy,ADMINISTERED_TO,Patients
NCT00967057,Therapeutic procedure,METHOD_OF,Consolidation Therapy
NCT00967057,Maintenance therapy,ISA,Therapeutic procedure
NCT00967057,Maintenance therapy,METHOD_OF(SPEC),Consolidation Therapy
NCT00967057,Therapeutic procedure,METHOD_OF,Consolidation Therapy
NCT00967057,Disease,PROCESS_OF,Patients
NCT00967057,Neoadjuvant Therapy,ADMINISTERED_TO,Patients
NCT00967057,Assessment procedure,METHOD_OF,Therapeutic procedure
NCT00967057,Assessment procedure,METHOD_OF,Consolidation Therapy
NCT00967057,Disease,PROCESS_OF,Patients
NCT00967057,Dexamethasone,ADMINISTERED_TO,Patients
NCT00967057,Methotrexate,ADMINISTERED_TO,Patients
NCT00967057,Vincristine Sulfate,ADMINISTERED_TO,Patients
NCT00967057,pegaspargase,ADMINISTERED_TO,Patients
NCT00967057,Upper Extremity,LOCATION_OF,ASPARAGINASE
NCT00967057,Upper Extremity,LOCATION_OF,pegaspargase
NCT00967057,Oral form dexamethasone,ADMINISTERED_TO,Patients
NCT00967057,Oral form dexamethasone,ADMINISTERED_TO,Patients
NCT00967057,Oral form dexamethasone,ADMINISTERED_TO,Patients
NCT00967057,Cranial Irradiation,TREATS,Patients
NCT00967057,Methotrexate,NEG_ADMINISTERED_TO,Patients
NCT00967057,Radiation therapy,TREATS,Patients
NCT00967057,Cranial Irradiation,TREATS,Patients
NCT00967057,Methotrexate,ADMINISTERED_TO,Patients
NCT00967057,Cranial Irradiation,TREATS,Patients
NCT00967057,Prophylactic treatment,TREATS,Patients
NCT00967057,Stem cell transplant,TREATS,Patients
NCT00967057,Infusion procedures,METHOD_OF,Immunotherapy
NCT00967057,Stem cell transplant,TREATS,Patients
NCT00101205,Etoposide,TREATS,Patients
NCT00101205,Ifosfamide,TREATS,Patients
NCT00101205,oxaliplatin,TREATS,Patients
NCT00101205,Vitelliform dystrophy,PROCESS_OF,Patients
NCT00101205,Adverse effects,PROCESS_OF,Patients
NCT00101205,Pharmaceutical Preparations,DISRUPTS,Cells
NCT00101205,Etoposide,DISRUPTS,Growth
NCT00101205,oxaliplatin,DISRUPTS,Growth
NCT00101205,oxaliplatin,INTERACTS_WITH,Pharmaceutical Preparations
NCT00101205,Etoposide,DISRUPTS,"Tumor cells, malignant"
NCT00101205,Etoposide,TREATS,Patients
NCT00101205,oxaliplatin,TREATS,Patients
NCT00101205,Treatment Protocols,TREATS,Patients
NCT00101205,Etoposide,ADMINISTERED_TO,Patients
NCT00101205,oxaliplatin,ADMINISTERED_TO,Patients
NCT00101205,Toxic effect,PROCESS_OF,Patients
NCT00042796,Pharmacotherapy,ADMINISTERED_TO,Child
NCT00042796,Pharmaceutical Preparations,TREATS,Child
NCT00042796,5-aza-2'-deoxycytidine,TREATS,Child
NCT00042796,Vitelliform dystrophy,PROCESS_OF,Child
NCT00042796,Adverse effects,PROCESS_OF,Child
NCT00042796,5-aza-2'-deoxycytidine,TREATS,Child
NCT00042796,Therapeutic procedure,USES,cDNA Microarray device
NCT00042796,DNA,PART_OF,DCK gene
NCT00042796,DNA,PART_OF,CDA gene
NCT00042796,Single Nucleotide Polymorphism,COEXISTS_WITH,DNA
NCT00042796,5-aza-2'-deoxycytidine,ADMINISTERED_TO,Patients
NCT00042796,5-aza-2'-deoxycytidine,TREATS,Child
NCT00005596,Combination Drug Therapy,TREATS,Child
NCT00005596,Pharmaceutical Preparations,DISRUPTS,"Tumor cells, malignant"
NCT00005596,Pharmaceutical Preparations,DISRUPTS,"Tumor cells, malignant"
NCT00005596,Combination Drug Therapy,TREATS,Child
NCT00005596,Therapeutic procedure,TREATS,Child
NCT00005596,Methotrexate,compared_with,Methotrexate
NCT00005596,Neoadjuvant Therapy,ADMINISTERED_TO,Patients
NCT00005596,Methotrexate,ADMINISTERED_TO,Patients
NCT00005596,Leucovorin Calcium,ADMINISTERED_TO,Patients
NCT00005596,Leucovorin Calcium,ADMINISTERED_TO,Patients
NCT00005596,Upper Extremity,LOCATION_OF,Methotrexate
NCT00005596,6-Mercaptopurine,ADMINISTERED_TO,Patients
NCT00005596,Dexamethasone,ADMINISTERED_TO,Patients
NCT00005596,Methotrexate,ADMINISTERED_TO,Patients
NCT00005596,Vincristine,ADMINISTERED_TO,Patients
NCT00005596,Upper Extremity,LOCATION_OF,Leucovorin Calcium
NCT00005596,Methotrexate,ADMINISTERED_TO,Patients
NCT00005596,Upper Extremity,LOCATION_OF,pegaspargase
NCT00005596,Upper Extremity,LOCATION_OF,Leucovorin Calcium
NCT00005596,Methotrexate,ADMINISTERED_TO,Patients
NCT00005596,Methotrexate,ADMINISTERED_TO,Patients
NCT00005596,"Leukemia, Lymphocytic, Acute",PROCESS_OF,Patients
NCT00005603,Combination Drug Therapy,TREATS,Child
NCT00005603,Pharmaceutical Preparations,DISRUPTS,"Tumor cells, malignant"
NCT00005603,Pharmaceutical Preparations,DISRUPTS,"Tumor cells, malignant"
NCT00005603,Combination Drug Therapy,TREATS,Child
NCT00005603,Therapeutic procedure,TREATS,Patients
NCT00005603,Therapeutic procedure,compared_with,Therapeutic procedure
NCT00005603,Therapeutic procedure,higher_than,Therapeutic procedure
NCT00005603,Methotrexate,ADMINISTERED_TO,Patients
NCT00005603,Methotrexate,ADMINISTERED_TO,Patients
NCT00005603,Bone Marrow,PART_OF,Patients
NCT00005603,Thioguanine,ADMINISTERED_TO,Patients
NCT00005603,CNS disorder,PROCESS_OF,Patients
NCT00005603,Whole-Brain Radiotherapy,TREATS,Patients
NCT00005603,Whole-Brain Radiotherapy,TREATS(INFER),CNS disorder
NCT00005603,Methotrexate,ADMINISTERED_TO,Patients
NCT02544789,"Leukemia, Lymphocytic, Acute",PROCESS_OF,Child
NCT02544789,clofarabine,TREATS,Patients
NCT02544789,clofarabine,TREATS,Patients
NCT02544789,clofarabine,TREATS,Patients
NCT00702403,"Leukemia, Lymphocytic, Acute",PROCESS_OF,Patients
NCT00702403,"Myeloid Leukemia, Chronic",PROCESS_OF,Patients
NCT00702403,Imatinib mesylate,ADMINISTERED_TO,Patients
NCT00702403,Stem cell transplant,TREATS,Patients
NCT00702403,Stem cell transplant,TREATS(INFER),"Leukemia, Lymphocytic, Acute"
NCT00702403,Stem cell transplant,TREATS(INFER),"Myeloid Leukemia, Chronic"
NCT00702403,Imatinib mesylate,DISRUPTS,Growth
NCT00702403,Cell Transplantation,TREATS,Patients
NCT00702403,Cell Transplantation,TREATS(INFER),Philadelphia chromosome positive
NCT00702403,Philadelphia chromosome positive,PROCESS_OF,Patients
NCT00702403,leukemia,PROCESS_OF,Patients
NCT00702403,Therapeutic procedure,TREATS,Patients
NCT00702403,Therapeutic procedure,TREATS(INFER),leukemia
NCT00702403,Therapeutic procedure,USES,Protein-tyrosine kinase inhibitor
NCT00702403,imatinib,TREATS,leukemia
NCT00702403,Imatinib mesylate,ISA,imatinib
NCT00702403,Imatinib mesylate,TREATS(SPEC),leukemia
NCT00702403,leukemia,PROCESS_OF,Patients
NCT00702403,imatinib,ADMINISTERED_TO,Patients
NCT00702403,imatinib,TREATS,Patients
NCT00702403,leukemia,PROCESS_OF,Patients
NCT00702403,leukemia,PROCESS_OF,Patients
NCT00702403,Imatinib mesylate,ADMINISTERED_TO,Patients
NCT00702403,leukemia,PROCESS_OF,Patients
NCT00702403,Cell Transplantation,TREATS,leukemia
NCT01093586,Cord Blood Stem Cell Transplantation,TREATS,Patients
NCT01093586,Blood,PART_OF,Patients
NCT01093586,Bone Marrow,PART_OF,Patients
NCT01093586,Hematologic Neoplasms,PROCESS_OF,Patients
NCT01093586,Transplanted organ and tissue status,PROCESS_OF,Patients
NCT01093586,Antithymoglobulin,ADMINISTERED_TO,Patients
NCT01093586,Busulfan,ADMINISTERED_TO,Patients
NCT01093586,Transplanted tissue,LOCATION_OF,Secondary disease
NCT01093586,Hematologic Neoplasms,PROCESS_OF,Patients
NCT01093586,Transplanted organ and tissue status,PROCESS_OF,Patients
NCT01093586,Infusion procedures,TREATS,Transplanted organ and tissue status
NCT01093586,Cord Blood Stem Cell Transplantation,TREATS,Patients
NCT01093586,Myeloablative Chemotherapy,TREATS,Hematologic Neoplasms
NCT01093586,Cord Blood Stem Cell Transplantation,TREATS,Hematologic Neoplasms
NCT00061945,Combination Drug Therapy,ADMINISTERED_TO,Patients
NCT00061945,Combination Drug Therapy,TREATS,Patients
NCT00061945,"Leukemia, Lymphocytic, Acute",PROCESS_OF,Patients
NCT00061945,alemtuzumab,TREATS,Patients
NCT00061945,alemtuzumab,AFFECTS,Growth
NCT00061945,alemtuzumab,ISA,Monoclonal Antibodies
NCT00061945,Pharmaceutical Preparations,DISRUPTS,"Tumor cells, malignant"
NCT00061945,Combination Drug Therapy,AFFECTS,Growth
NCT00061945,Campath 1H,ISA,alemtuzumab
NCT00061945,Campath 1H,TREATS,Adult
NCT00061945,Therapeutic procedure,USES,Antibodies
NCT00061945,Therapeutic procedure,USES,Campath 1H
NCT00061945,"Neoplasm, Residual",COEXISTS_WITH,"Leukemia, Lymphocytic, Acute, L2"
NCT00061945,Allopurinol,ADMINISTERED_TO,Patients
NCT00061945,Combination Drug Therapy,TREATS,Patients
NCT00061945,Combination Drug Therapy,TREATS(INFER),Philadelphia chromosome positive
NCT00061945,Philadelphia chromosome positive,PROCESS_OF,Patients
NCT00061945,Methotrexate,ADMINISTERED_TO,Patients
NCT00061945,Vincristine Sulfate,ADMINISTERED_TO,Patients
NCT00061945,"Leukemia, Lymphocytic, Acute",PROCESS_OF,Adult
NCT00061945,Therapeutic procedure,TREATS,Adult
NCT00061945,Therapeutic procedure,TREATS(INFER),"Leukemia, Lymphocytic, Acute"
NCT02625480,"Leukemia, Lymphocytic, Acute",PROCESS_OF,Adolescent
NCT02625480,CD19 Antigens,ASSOCIATED_WITH,"Leukemia, Lymphocytic, Acute"
NCT02625480,"Leukemia, Lymphocytic, Acute",PROCESS_OF,Adolescent
NCT01471782,"Leukemia, Lymphocytic, Acute",PROCESS_OF,Patients
NCT01471782,Malignant Neoplasms,PART_OF,Blood
NCT01471782,Malignant Neoplasms,PART_OF,Bone Marrow
NCT01471782,"Leukemia, Lymphocytic, Acute",ISA,Malignant Neoplasms
NCT01471782,"Leukemia, Lymphocytic, Acute",PART_OF(SPEC),Blood
NCT01471782,"Leukemia, Lymphocytic, Acute",PART_OF(SPEC),Bone Marrow
NCT01471782,"Leukemia, Lymphocytic, Acute, L1",ISA,"Leukemia, Lymphocytic, Acute"
NCT01471782,"Leukemia, Lymphocytic, Acute",PROCESS_OF,Patients
NCT01471782,Drug Kinetics,PROCESS_OF,Patients
NCT01471782,Part,LOCATION_OF,Cells
NCT01471782,T-Cell Activation,PROCESS_OF,Patients
NCT01471782,Drug Kinetics,PROCESS_OF,cohort
NCT01471782,Pharmacotherapy,ADMINISTERED_TO,Participant
NCT01471782,"Leukemia, Lymphocytic, Acute",PROCESS_OF,Patients
NCT01858740,Graft-vs-Host Disease,PROCESS_OF,Patients
NCT01858740,Hematologic Neoplasms,PROCESS_OF,Patients
NCT01858740,Peripheral Stem Cell Transplant,PART_OF,Blood
NCT01858740,Peripheral Stem Cell Transplant,PART_OF,Blood
NCT01858740,Bone Marrow,PART_OF,Patients
NCT01858740,Chronic graft-versus-host disease,PROCESS_OF,Patients
NCT01858740,Whole-Body Irradiation,TREATS,Patients
NCT01858740,Tacrolimus,ADMINISTERED_TO,Patients
NCT01858740,Methotrexate,ADMINISTERED_TO,Patients
NCT01858740,Graft-vs-Host Disease,PROCESS_OF,Child
NCT00873093,Combination Drug Therapy,TREATS,Patients
NCT00873093,Combination Drug Therapy,TREATS(INFER),"Leukemia, Lymphocytic, Acute"
NCT00873093,Combination Drug Therapy,TREATS(INFER),Large Cell Lymphoblastic Lymphoma
NCT00873093,"Leukemia, Lymphocytic, Acute",PROCESS_OF,Patients
NCT00873093,Large Cell Lymphoblastic Lymphoma,PROCESS_OF,Patients
NCT00873093,bortezomib,ADMINISTERED_TO,Pilot
NCT00873093,bortezomib,TREATS,Patients
NCT00873093,bortezomib,TREATS(INFER),"Leukemia, Lymphocytic, Acute"
NCT00873093,bortezomib,DISRUPTS,Growth
NCT00873093,Pharmaceutical Preparations,DISRUPTS,Growth
NCT00873093,bortezomib,DISRUPTS,"Tumor cells, malignant"
NCT00873093,"Leukemia, Lymphocytic, Acute",PROCESS_OF,Patients
NCT00873093,bortezomib,TREATS,"Leukemia, Lymphocytic, Acute"
NCT00873093,bortezomib,TREATS,Patients
NCT00873093,Bone Marrow,LOCATION_OF,"Neoplasm, Residual"
NCT00873093,Cytarabine,ADMINISTERED_TO,Patients
NCT00873093,CNS disorder,PROCESS_OF,Patients
NCT00873093,Methotrexate,ADMINISTERED_TO,Patients
NCT00873093,Therapeutic procedure,ADMINISTERED_TO,Patients
NCT00873093,"Leukemia, Lymphocytic, Acute",PROCESS_OF,Patients
NCT00873093,"Leukemia, Lymphocytic, Acute",PROCESS_OF,Patients
NCT00873093,Large Cell Lymphoblastic Lymphoma,PROCESS_OF,Patients
NCT00873093,Cerebrospinal Fluid,PART_OF,Patients
NCT00873093,Large Cell Lymphoblastic Lymphoma,PROCESS_OF,Patients
NCT00873093,CNS disorder,PROCESS_OF,Patients
NCT00873093,Methotrexate,ADMINISTERED_TO,Patients
NCT00873093,Disease Progression,PROCESS_OF,Patients
NCT00873093,"Leukemia, Lymphocytic, Acute",PROCESS_OF,Child
NCT00873093,Neoadjuvant Therapy,TREATS,Child
NCT00873093,Neoadjuvant Therapy,TREATS(INFER),"Leukemia, Lymphocytic, Acute"
NCT01100658,Methylphenidate,TREATS,Child
NCT01100658,Methylphenidate,TREATS(INFER),Attention deficit hyperactivity disorder
NCT01100658,Attention deficit hyperactivity disorder,PROCESS_OF,Child
NCT01100658,Pharmaceutical Preparations,TREATS,Child
NCT01100658,Methylphenidate,TREATS,Child
NCT00860574,"Leukemia, Myelocytic, Acute",ISA,Dysmyelopoietic Syndromes
NCT00860574,"Leukemia, Myelocytic, Acute",PROCESS_OF,Patients
NCT00860574,"Leukemia, Myelocytic, Acute",PROCESS_OF(SPEC),Patients
NCT00860574,Dysmyelopoietic Syndromes,PROCESS_OF,Patients
NCT00860574,Stem cell transplant,METHOD_OF,Whole-Body Irradiation
NCT00860574,Stem cell transplant,TREATS,Patients
NCT00860574,Stem cell transplant,TREATS(INFER),"Leukemia, Myelocytic, Acute"
NCT00860574,Fludarabine phosphate,DISRUPTS,Growth
NCT00860574,treosulfan,DISRUPTS,Growth
NCT00860574,Peripheral Stem Cell Transplant,PART_OF,Blood
NCT00860574,"Leukemia, Myelocytic, Acute",PROCESS_OF,Donor person
NCT00860574,"Leukemia, Myelocytic, Acute",PROCESS_OF,Patients
NCT00860574,Dysmyelopoietic Syndromes,PROCESS_OF,Donor person
NCT00860574,Dysmyelopoietic Syndromes,PROCESS_OF,Patients
NCT00860574,Transplanted organ and tissue status,PROCESS_OF,Donor person
NCT00860574,Transplanted organ and tissue status,PROCESS_OF,Patients
NCT00860574,Bone Marrow Transplantation,TREATS,Patients
NCT00860574,Whole-Body Irradiation,TREATS,Patients
NCT00860574,Tacrolimus,ADMINISTERED_TO,Patients
NCT00860574,Peripheral Stem Cell Transplantation,TREATS,Patients
NCT00860574,Methotrexate,ADMINISTERED_TO,Patients
NCT00860574,"Leukemia, Myelocytic, Acute",PROCESS_OF,Patients
NCT00860574,Cell Transplantation,TREATS,Patients
NCT00860574,Cell Transplantation,TREATS(INFER),"Leukemia, Myelocytic, Acute"
NCT00860574,Cell Transplantation,USES,fludarabine
NCT00027820,Whole-Body Irradiation,TREATS,Patients
NCT00027820,Whole-Body Irradiation,TREATS(INFER),Hematologic Neoplasms
NCT00027820,Fludarabine phosphate,TREATS,Patients
NCT00027820,Fludarabine phosphate,TREATS(INFER),Hematologic Neoplasms
NCT00027820,Hematologic Neoplasms,PROCESS_OF,Patients
NCT00027820,Peripheral Stem Cell Transplant,PART_OF,Blood
NCT00027820,Pharmacotherapy,USES,Pharmaceutical Preparations
NCT00027820,Renal Cell Carcinoma,PROCESS_OF,Patients
NCT00027820,mycophenolate mofetil,TREATS,Patients
NCT00027820,mycophenolate mofetil,TREATS(INFER),Renal Cell Carcinoma
NCT00027820,mycophenolate mofetil,TREATS(INFER),Hematologic Neoplasms
NCT00027820,Hematologic Neoplasms,PROCESS_OF,Patients
NCT00027820,Graft acceptance,PROCESS_OF,Patients
NCT00027820,Acute graft-versus-host disease,PROCESS_OF,Patients
NCT00027820,Fludarabine phosphate,ISA,fludarabine
NCT00027820,Graft acceptance,PROCESS_OF,Patients
NCT00027820,Cyclosporine,ADMINISTERED_TO,Patients
NCT00027820,Fludarabine phosphate,ADMINISTERED_TO,Patients
NCT00027820,Peripheral Stem Cell Transplant,PART_OF,Blood
NCT00027820,Renal Cell Carcinoma,PROCESS_OF,Patients
NCT00027820,Peripheral Stem Cell Transplantation,METHOD_OF,Whole-Body Irradiation
NCT00027820,Hematologic Neoplasms,PROCESS_OF,Patients
NCT00058461,Combination Drug Therapy,TREATS,Patients
NCT00058461,"Leukemia, Lymphocytic, Acute",PROCESS_OF,Patients
NCT00058461,rituximab,TREATS,Patients
NCT00058461,Non-Hodgkin's lymphoma refractory,PROCESS_OF,Patients
NCT00058461,Pharmaceutical Preparations,DISRUPTS,"Tumor cells, malignant"
NCT00058461,Etoposide,DISRUPTS,"Tumor cells, malignant"
NCT00058461,Ifosfamide,DISRUPTS,"Tumor cells, malignant"
NCT00058461,Carboplatin,DISRUPTS,"Tumor cells, malignant"
NCT00058461,rituximab,ISA,Monoclonal Antibodies
NCT00058461,rituximab,DISRUPTS,"Tumor cells, malignant"
NCT00058461,Etoposide,TREATS,"Leukemia, Lymphocytic, Acute"
NCT00058461,Etoposide,TREATS,B-cell lymphoma refractory
NCT00058461,Ifosfamide,TREATS,"Leukemia, Lymphocytic, Acute"
NCT00058461,Ifosfamide,TREATS,B-cell lymphoma refractory
NCT00058461,Carboplatin,TREATS,"Leukemia, Lymphocytic, Acute"
NCT00058461,Carboplatin,TREATS,B-cell lymphoma refractory
NCT00058461,Treatment Protocols,TREATS,Patients
NCT00058461,Filgrastim,ISA,Granulocyte Colony-Stimulating Factor
NCT00058461,Peripheral Stem Cell Transplantation,TREATS,Patients
NCT00058461,B-Lymphocytes,LOCATION_OF,Large-Cell Lymphomas
NCT00058461,Large-Cell Lymphomas,ISA,Disease
NCT00058461,Precursor B-cell lymphoblastic lymphoma,ISA,Disease
NCT00058461,Filgrastim,ISA,Granulocyte Colony-Stimulating Factor
NCT00058461,Filgrastim,ADMINISTERED_TO,Patients
NCT00058461,Cytarabine,ADMINISTERED_TO,Patients
NCT00058461,CHEMOTHERAPY METHOTREXATE,ADMINISTERED_TO,Patients
NCT00058461,B-Lymphocytes,LOCATION_OF,Large-Cell Lymphomas
NCT00058461,Large-Cell Lymphomas,PROCESS_OF,Patients
NCT00058461,Intrathecal Chemotherapy,ADMINISTERED_TO,Patients
NCT00058461,"Leukemia, B-Cell, Acute",PROCESS_OF,Patients
NCT00058461,"Lymphoma, Small Noncleaved-Cell",PROCESS_OF,Patients
NCT00058461,Intrathecal Chemotherapy,ADMINISTERED_TO,Patients
NCT00058461,Intrathecal Chemotherapy,ADMINISTERED_TO,Patients
NCT00058461,B-Lymphocytes,PART_OF,Child
NCT00058461,Pharmacotherapy,TREATS,Child
NCT00058461,Pharmacotherapy,USES,Etoposide
NCT00058461,Etoposide,ISA,Pharmacotherapy
NCT00058461,Etoposide,TREATS(SPEC),Child
NCT00058461,Ifosfamide,TREATS,Child
NCT00058461,Carboplatin,TREATS,Child
NCT00058461,rituximab,TREATS,Child
NCT00089011,Graft-vs-Host Disease,PROCESS_OF,Patients
NCT00089011,Whole-Body Irradiation,TREATS,Hematologic Neoplasms
NCT00089011,Fludarabine phosphate,TREATS,Hematologic Neoplasms
NCT00089011,Tacrolimus,TREATS,Graft-vs-Host Disease
NCT00089011,mycophenolate mofetil,TREATS,Graft-vs-Host Disease
NCT00089011,Peripheral Stem Cell Transplant,PART_OF,Blood
NCT00089011,Fludarabine phosphate,DISRUPTS,Growth
NCT00089011,Peripheral Stem Cell Transplant,PART_OF,Blood
NCT00089011,Graft-vs-Host Disease,PROCESS_OF,Patients
NCT00089011,Fludarabine phosphate,ISA,fludarabine
NCT00089011,Whole-Body Irradiation,TREATS,Patients
NCT00089011,Fludarabine phosphate,ADMINISTERED_TO,Patients
NCT00089011,Peripheral Stem Cell Transplantation,TREATS,Patients
NCT00089011,Tacrolimus,TREATS,Hematologic Neoplasms
NCT00089011,mycophenolate mofetil,TREATS,Hematologic Neoplasms
NCT00078858,Cyclosporine,ASSOCIATED_WITH,Graft-vs-Host Disease
NCT00078858,Graft-vs-Host Disease,PROCESS_OF,Patients
NCT00078858,mycophenolate mofetil,PREDISPOSES,Graft-vs-Host Disease
NCT00078858,Metastatic renal cell carcinoma,PROCESS_OF,Patients
NCT00078858,Hematologic Neoplasms,PROCESS_OF,Patients
NCT00078858,Graft-vs-Host Disease,PROCESS_OF,Patients
NCT00078858,Hematologic Neoplasms,PROCESS_OF,Patients
NCT00078858,Cyclosporine,ADMINISTERED_TO,Patients
NCT00078858,Whole-Body Irradiation,TREATS,Patients
NCT00078858,Renal Cell Carcinoma,PROCESS_OF,Patients
NCT00078858,Transplantation,TREATS,Patients
NCT00078858,Transplantation,TREATS(INFER),Renal Cell Carcinoma
NCT00078858,Transplantation,TREATS(INFER),Hematologic Neoplasms
NCT00078858,mycophenolate mofetil,PREVENTS,Graft-vs-Host Disease
NCT00078858,Hematologic Neoplasms,PROCESS_OF,Patients
NCT00014235,Fludarabine phosphate,TREATS,Patients
NCT00014235,Fludarabine phosphate,TREATS(INFER),Hematologic Neoplasms
NCT00014235,Hematologic Neoplasms,PROCESS_OF,Patients
NCT00014235,Peripheral Stem Cell Transplant,PART_OF,Blood
NCT00014235,Peripheral Stem Cell Transplant,PART_OF,Blood
NCT00014235,Bone Marrow,PART_OF,Patients
NCT00014235,Graft-vs-Host Disease,PROCESS_OF,Patients
NCT00014235,Whole-Body Irradiation,TREATS,Patients
