PMID,Sentence,Subject,Predicate,Object,Source,Comments
28809761,"Pediatric B-cell acute lymphoblastic leukemia (B-ALL) is the most common hematological malignancy in children, and the t(12;21)(p13;q22) occurs in approximately 25% of these cases, making it is the most prevalent chromosomal abnormality.",B-cell childhood acute lymphoblastic leukemia,PROCESS_OF,Child,UMLS,
28809761,"Pediatric B-cell acute lymphoblastic leukemia (B-ALL) is the most common hematological malignancy in children, and the t(12;21)(p13;q22) occurs in approximately 25% of these cases, making it is the most prevalent chromosomal abnormality.",B-cell childhood acute lymphoblastic leukemia,ISA,Hematologic neoplasm,UMLS,
28809761,"Pediatric B-cell acute lymphoblastic leukemia (B-ALL) is the most common hematological malignancy in children, and the t(12;21)(p13;q22) occurs in approximately 25% of these cases, making it is the most prevalent chromosomal abnormality.",t(12;21)(p13.2;q22.1),ISA,Chromosome Aberration,UMLS,
28809761,"Pediatric B-cell acute lymphoblastic leukemia (B-ALL) is the most common hematological malignancy in children, and the t(12;21)(p13;q22) occurs in approximately 25% of these cases, making it is the most prevalent chromosomal abnormality.",t(12;21)(p13.2;q22.1),OCCURS_IN,B-cell childhood acute lymphoblastic leukemia,UMLS,
28809761,"The t(12;21) which disrupts hematopoietic differentiation and proliferation, and can be present as a sole abnormality or within the context of a complex karyotype characterized by three or more chromosomal abnormalities.",t(12;21)(p13.2;q22.1),DISRUPTS,Hematopoietic progenitor cell differentiation,UMLS,
28809761,"The t(12;21) which disrupts hematopoietic differentiation and proliferation, and can be present as a sole abnormality or within the context of a complex karyotype characterized by three or more chromosomal abnormalities.",t(12;21)(p13.2;q22.1),DISRUPTS,Proliferation of hematopoietic cell type,UMLS,
28809761,"The t(12;21) which disrupts hematopoietic differentiation and proliferation, and can be present as a sole abnormality or within the context of a complex karyotype characterized by three or more chromosomal abnormalities.",t(12;21)(p13.2;q22.1),COEXISTS_WITH,Complex Karyotype,UMLS,would want MAY_COEXIST_WITH
28809761,The prognosis of t(12;21) within a complex karyotype is extensively debated.,*t(12;21)(p13.2;q22.1) with Complex Karyotype*,AFFECTS,Cancer prognosis,UMLS,would want MAY_AFFECT
28809761,"In this review, we discuss the literature regarding t(12;21) and summarize the cytogenetic features found in 363 pediatric cases compiled from the Mitelman Database of Chromosome Aberrations and Gene Fusions in Cancer.",Cytogenetics,ISSUE_IN,Pediatrics,UMLS,Not ideal relationship but what is available in UMLS 
28809761,"In this review, we discuss the literature regarding t(12;21) and summarize the cytogenetic features found in 363 pediatric cases compiled from the Mitelman Database of Chromosome Aberrations and Gene Fusions in Cancer.",t(12;21)(p13.2;q22.1),OCCURS_IN,Literature,UMLS,
28809761,"In this review, we discuss the literature regarding t(12;21) and summarize the cytogenetic features found in 363 pediatric cases compiled from the Mitelman Database of Chromosome Aberrations and Gene Fusions in Cancer.",Cytogenetics,PART_OF,"Databases, Molecular",UMLS,
28809761,"Cytogenetically, most of the cases had secondary chromosomal abnormalities, about half of which were in the context of a complex karyotype.",Complex karyotype,OCCURS_IN,B-cell childhood acute lymphoblastic leukemia,UMLS,
28809761,"Trisomy 21 was found to be the most common numerical abnormality in almost one-fifth of the cases, and deletions on chromosome 12 and 6 occurred in 16.9% and 12.5% of cases, respectively.",Trisomy 21,ISA,Numerical Chromosomal Abnormality,UMLS,how to define most common?
28809761,"Trisomy 21 was found to be the most common numerical abnormality in almost one-fifth of the cases, and deletions on chromosome 12 and 6 occurred in 16.9% and 12.5% of cases, respectively.",Deletion of part of chromosome 12,ISA,Chromosome Aberration,UMLS,
28809761,"Trisomy 21 was found to be the most common numerical abnormality in almost one-fifth of the cases, and deletions on chromosome 12 and 6 occurred in 16.9% and 12.5% of cases, respectively.",Deletion of part of chromosome 6,ISA,Chromosome Aberration,UMLS,
28809761,"Trisomy 21 was found to be the most common numerical abnormality in almost one-fifth of the cases, and deletions on chromosome 12 and 6 occurred in 16.9% and 12.5% of cases, respectively.",Trisomy 21,OCCURS_IN,B-cell childhood acute lymphoblastic leukemia,UMLS,
28809761,"Trisomy 21 was found to be the most common numerical abnormality in almost one-fifth of the cases, and deletions on chromosome 12 and 6 occurred in 16.9% and 12.5% of cases, respectively.",Deletion of part of chromosome 12,OCCURS_IN,B-cell childhood acute lymphoblastic leukemia,UMLS,
28809761,"Trisomy 21 was found to be the most common numerical abnormality in almost one-fifth of the cases, and deletions on chromosome 12 and 6 occurred in 16.9% and 12.5% of cases, respectively.",Deletion of part of chromosome 6,OCCURS_IN,B-cell childhood acute lymphoblastic leukemia,UMLS,
28809761,"Trisomy 21 was found to be the most common numerical abnormality in almost one-fifth of the cases, and deletions on chromosome 12 and 6 occurred in 16.9% and 12.5% of cases, respectively.",B-cell childhood acute lymphoblastic leukemia,DISEASE_MAY_HAVE_MOLECULAR_ABNORMALITY,Trisomy 21,NCI Thesaurus,
28809761,"Trisomy 21 was found to be the most common numerical abnormality in almost one-fifth of the cases, and deletions on chromosome 12 and 6 occurred in 16.9% and 12.5% of cases, respectively.",B-cell childhood acute lymphoblastic leukemia,DISEASE_MAY_HAVE_MOLECULAR_ABNORMALITY,Deletion of part of chromosome 12,NCI Thesaurus,
28809761,"Trisomy 21 was found to be the most common numerical abnormality in almost one-fifth of the cases, and deletions on chromosome 12 and 6 occurred in 16.9% and 12.5% of cases, respectively.",B-cell childhood acute lymphoblastic leukemia,DISEASE_MAY_HAVE_MOLECULAR_ABNORMALITY,Deletion of part of chromosome 6,NCI Thesaurus,
28809761,"Trisomy 21 was found to be the most common numerical abnormality in almost one-fifth of the cases, and deletions on chromosome 12 and 6 occurred in 16.9% and 12.5% of cases, respectively.",t(12;21)(p13.2;q22.1),COEXISTS_WITH,Trisomy 21,UMLS,
28809761,"Trisomy 21 was found to be the most common numerical abnormality in almost one-fifth of the cases, and deletions on chromosome 12 and 6 occurred in 16.9% and 12.5% of cases, respectively.",t(12;21)(p13.2;q22.1),COEXISTS_WITH,Deletion of part of chromosome 12,UMLS,
28809761,"Trisomy 21 was found to be the most common numerical abnormality in almost one-fifth of the cases, and deletions on chromosome 12 and 6 occurred in 16.9% and 12.5% of cases, respectively.",t(12;21)(p13.2;q22.1),COEXISTS_WITH,Deletion of part of chromosome 6,UMLS,
28809761,"In general, t(12;21) in B-ALL is associated with a favorable prognosis. ",t(12;21),ASSOCIATED_WITH,Prognosis Good,UMLS,
28809761,"In general, t(12;21) in B-ALL is associated with a favorable prognosis. ",B lymphoblsatic leukemia lymphoma with t(12;21)(p13;q22); TEL-AML1 (ETV6-RUNX1),ASSOCIATED_WITH,Prognosis Good,UMLS,
28809761,"Herein, we found no significant difference in survival outcome of t(12;21) with a on-complex or complex karyotype.",*t(12;21)(p13.2;q22.1) with Complex Karyotype*,NEG_ASSOCIATED_WITH,Survival rate,UMLS,
,,,,,,
27502091,Treatment of Childhood Acute Lymphoblastic Leukemia: Prognostic Factors and Clinical Advances,Prognostic factors,ASSOCIATED_WITH,Cancer treatment,UMLS,Difficult to know if anything is truly useful to capture from this article for our purposes
27502091,Treatment of Childhood Acute Lymphoblastic Leukemia: Prognostic Factors and Clinical Advances,Scientific advances and accomplishments,ASSOCIATED_WITH,Cancer treatment,UMLS,
27502091,"While the majority of children and adolescents with newly diagnosed childhood acute lymphoblastic leukemia (ALL) will be cured, as many as 20 % of patients will experience relapse. ",Cure of disease,OCCURS_IN,Childhood acute lymphoblastic leukemia,UMLS,
27502091,"While the majority of children and adolescents with newly diagnosed childhood acute lymphoblastic leukemia (ALL) will be cured, as many as 20 % of patients will experience relapse. ",Relapse,OCCURS_IN,Childhood acute lymphoblastic leukemia,UMLS,
27502091,"On current treatment regimens, the intensity of upfront treatment is stratified based upon prognostic factors with the aim of improving cure rates (for those at the highest risk of relapse) and minimizing treatment-related morbidity (for lower-risk patients).",Prognostic factors,AFFECT,First line treatment,UMLS,
27502091,"On current treatment regimens, the intensity of upfront treatment is stratified based upon prognostic factors with the aim of improving cure rates (for those at the highest risk of relapse) and minimizing treatment-related morbidity (for lower-risk patients).",Prognostic factors,AFFECT,Chemotherapy regimen,UMLS,
27502091,"On current treatment regimens, the intensity of upfront treatment is stratified based upon prognostic factors with the aim of improving cure rates (for those at the highest risk of relapse) and minimizing treatment-related morbidity (for lower-risk patients).",*Treatment intensity*,ASSOCIATED_WITH,Prognostic factors,UMLS,
27502091,"On current treatment regimens, the intensity of upfront treatment is stratified based upon prognostic factors with the aim of improving cure rates (for those at the highest risk of relapse) and minimizing treatment-related morbidity (for lower-risk patients).",High risk acute leukemia,AFFECT,First line treatment,UMLS,
27502091,"On current treatment regimens, the intensity of upfront treatment is stratified based upon prognostic factors with the aim of improving cure rates (for those at the highest risk of relapse) and minimizing treatment-related morbidity (for lower-risk patients).",Standard risk acute leukemia,AFFECT,First line treatment,UMLS,
27502091,"On current treatment regimens, the intensity of upfront treatment is stratified based upon prognostic factors with the aim of improving cure rates (for those at the highest risk of relapse) and minimizing treatment-related morbidity (for lower-risk patients).",High risk acute leukemia,AFFECT,Chemotherapy regimen,UMLS,
27502091,"On current treatment regimens, the intensity of upfront treatment is stratified based upon prognostic factors with the aim of improving cure rates (for those at the highest risk of relapse) and minimizing treatment-related morbidity (for lower-risk patients).",Standard risk acute leukemia,AFFECT,Chemotherapy regimen,UMLS,
27502091,"On current treatment regimens, the intensity of upfront treatment is stratified based upon prognostic factors with the aim of improving cure rates (for those at the highest risk of relapse) and minimizing treatment-related morbidity (for lower-risk patients).",Prognostic factors,ASSOCIATED_WITH,High risk acute leukemia,UMLS,
27502091,"On current treatment regimens, the intensity of upfront treatment is stratified based upon prognostic factors with the aim of improving cure rates (for those at the highest risk of relapse) and minimizing treatment-related morbidity (for lower-risk patients).",Prognostic factors,ASSOCIATED_WITH,Standard risk acute leukemia,UMLS,
27502091,"On current treatment regimens, the intensity of upfront treatment is stratified based upon prognostic factors with the aim of improving cure rates (for those at the highest risk of relapse) and minimizing treatment-related morbidity (for lower-risk patients).",Treatment related morbidity,ASSOCIATED_WITH,Cancer treatment,UMLS,
27502091,"On current treatment regimens, the intensity of upfront treatment is stratified based upon prognostic factors with the aim of improving cure rates (for those at the highest risk of relapse) and minimizing treatment-related morbidity (for lower-risk patients).",Chemotherapy regimen,AFFECT,Treatment related morbidity,UMLS,
27502091,Here we review advances in the understanding of prognostic factors and their application.,Scientific advances and accomplishments,ASSOCIATED_WITH,Prognostic factors,UMLS,
27502091,We also highlight novel treatment approaches aimed at improving outcomes in childhood ALL.,Disease outcome,ASSOCIATED_WITH,Childhood acute lymphoblastic leukemia,UMLS,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
